Anio,Mes,Last,Change,%Chg,YearChange,Year%Chg
2025,2,838,47.4,6.0,-16.5,-1.9
2025,1,790.6,40.1,5.3,-27,-3.3
2024,12,750.5,-38.5,-4.9,-33,-4.2
2024,11,789,-15.0,-1.9,-27,-3.2
2024,10,804,0.5,0.1,-10,-1.3
2024,9,803.5,-0.5,-0.1,-16,-1.9
2024,8,804,25.0,3.2,-32,-3.8
2024,7,779,29.5,3.9,-79,-9.2
2024,6,749.5,27.5,3.8,-83,-10.0
2024,5,722,-25.8,-3.4,-95,-11.7
2024,4,747.75,-73.9,-9.0,-113,-13.1
2024,3,821.6,-32.9,-3.9,-127,-13.4
2024,2,854.5,36.5,4.5,-152,-15.1
2024,1,818,34.2,4.4,-180,-18.1
2023,12,783.8,-31.7,-3.9,-151,-16.2
2023,11,815.5,1.3,0.2,-164,-16.8
2023,10,814.25,-5.1,-0.6,-167,-17.0
2023,9,819.4,-16.6,-2.0,-153,-15.8
2023,8,836,-21.5,-2.5,-129,-13.4
2023,7,857.5,25.1,3.0,-85,-9.0
2023,6,832.4,15.2,1.9,-48,-5.4
2023,5,817.25,-43.5,-5.1,6,0.8
2023,4,860.75,-87.7,-9.2,64,8.1
2023,3,948.4,-57.6,-5.7,102,12.1
2023,2,1006,7.8,0.8,150,17.5
2023,1,998.25,63.5,6.8,207,26.2
2022,12,934.8,-45.0,-4.6,0,0
2022,11,979.75,-1.0,-0.1,0,0
2022,10,980.75,8.1,0.8,0,0
2022,9,972.6,7.6,0.8,0,0
2022,8,965,22.2,2.4,0,0
2022,7,942.8,62.6,7.1,0,0
2022,6,880.25,69.3,8.5,0,0
2022,5,811,14.6,1.8,0,0
2022,4,796.4,-49.9,-5.9,0,0
2022,3,846.25,-9.8,-1.1,0,0
2022,2,856,65.0,8.2,0,0
2022,1,791,791.0,0.0,0,0
